nohup: ignoring input

╔══════════════════════════════════════════════════════════╗
║  P-EDCA Ratio Sweep (Parallel, Multi-Run Averaging)    ║
║  nSta = [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50]
║  ratios = [0.0, 0.2, 0.4, 0.6, 0.8, 1.0]
║  dataRate = 1Mbps    simTime = 10.0s
║  runs = 10    workers = 16
║  binary = scratch/pedca_verification_nsta.cc
╚══════════════════════════════════════════════════════════╝

  Launching 25 nSta × 6 ratios × 10 runs = 1500 simulations
  (16 concurrent simulations)

/home/wmnlab/Desktop/ns-3.45/scratch/delay_pdf/pdf_plot.py:675: UserWarning: Glyph 65534 (\ufffe) missing from current font.
  fig.savefig(str(out_path), dpi=dpi)
/home/wmnlab/Desktop/ns-3.45/scratch/delay_pdf/pdf_plot.py:675: UserWarning: Glyph 65534 (\ufffe) missing from current font.
  fig.savefig(str(out_path), dpi=dpi)
  ✔ nSta=42  ratio=20%  10/10 runs OK  elapsed=2033.9s
  ✔ nSta=42  ratio=40%  10/10 runs OK  elapsed=1689.0s
  ✔ nSta=42  ratio=60%  10/10 runs OK  elapsed=1816.8s
  ✔ nSta=42  ratio=80%  10/10 runs OK  elapsed=1649.4s
  ✔ nSta=42  ratio=100%  10/10 runs OK  elapsed=1808.3s
  ✔ nSta=44  ratio=0%  10/10 runs OK  elapsed=1824.7s
  ✔ nSta=44  ratio=20%  10/10 runs OK  elapsed=2059.3s
  ✔ nSta=44  ratio=40%  10/10 runs OK  elapsed=1844.7s
  ✔ nSta=44  ratio=60%  10/10 runs OK  elapsed=1622.1s
  ✔ nSta=44  ratio=80%  10/10 runs OK  elapsed=1885.4s
  ✔ nSta=44  ratio=100%  10/10 runs OK  elapsed=2125.3s
  ✔ nSta=46  ratio=0%  10/10 runs OK  elapsed=1749.9s
  ✔ nSta=46  ratio=20%  10/10 runs OK  elapsed=1907.1s
  ✔ nSta=46  ratio=40%  10/10 runs OK  elapsed=2036.9s
  ✔ nSta=46  ratio=60%  10/10 runs OK  elapsed=1991.4s
  ✔ nSta=46  ratio=80%  10/10 runs OK  elapsed=1914.0s
  ✔ nSta=46  ratio=100%  10/10 runs OK  elapsed=1928.8s
  ✔ nSta=48  ratio=0%  10/10 runs OK  elapsed=2003.1s
  ✔ nSta=48  ratio=20%  10/10 runs OK  elapsed=2044.0s
  ✔ nSta=48  ratio=40%  10/10 runs OK  elapsed=2172.3s
  ✔ nSta=48  ratio=60%  10/10 runs OK  elapsed=1906.5s
  ✔ nSta=48  ratio=80%  10/10 runs OK  elapsed=1906.2s
  ✔ nSta=48  ratio=100%  10/10 runs OK  elapsed=2212.5s
  ✔ nSta=50  ratio=0%  10/10 runs OK  elapsed=2073.7s
  ✔ nSta=50  ratio=20%  10/10 runs OK  elapsed=2243.3s
  ✔ nSta=50  ratio=40%  10/10 runs OK  elapsed=1815.2s
  ✔ nSta=50  ratio=60%  10/10 runs OK  elapsed=2468.2s
  ✔ nSta=50  ratio=80%  10/10 runs OK  elapsed=1719.6s
  ✔ nSta=50  ratio=100%  10/10 runs OK  elapsed=1579.3s

────────────────────────────────────────────────────────────
  Generating PDF/CDF plots (parallel)...
────────────────────────────────────────────────────────────
  Plotting 25 charts in parallel (24 workers)...
    ✔ vo_delay_probability_nSta6_1Mbps.pdf
    ✔ vo_delay_probability_nSta4_1Mbps.pdf
    ✔ vo_delay_probability_nSta8_1Mbps.pdf
    ✔ vo_delay_probability_nSta12_1Mbps.pdf
    ✔ vo_delay_probability_nSta10_1Mbps.pdf
    ✔ vo_delay_probability_nSta2_1Mbps.pdf
    ✔ vo_delay_probability_nSta16_1Mbps.pdf
    ✔ vo_delay_probability_nSta20_1Mbps.pdf
    ✔ vo_delay_probability_nSta26_1Mbps.pdf
    ✔ vo_delay_probability_nSta42_1Mbps.pdf
    ✔ vo_delay_probability_nSta28_1Mbps.pdf
    ✔ vo_delay_probability_nSta38_1Mbps.pdf
    ✔ vo_delay_probability_nSta14_1Mbps.pdf
    ✔ vo_delay_probability_nSta48_1Mbps.pdf
    ✔ vo_delay_probability_nSta18_1Mbps.pdf
    ✔ vo_delay_probability_nSta36_1Mbps.pdf
    ✔ vo_delay_probability_nSta34_1Mbps.pdf
    ✔ vo_delay_probability_nSta22_1Mbps.pdf
    ✔ vo_delay_probability_nSta30_1Mbps.pdf
    ✔ vo_delay_probability_nSta24_1Mbps.pdf
    ✔ vo_delay_probability_nSta32_1Mbps.pdf
    ✔ vo_delay_probability_nSta44_1Mbps.pdf
    ✔ vo_delay_probability_nSta46_1Mbps.pdf
    ✔ vo_delay_probability_nSta40_1Mbps.pdf
    ✔ vo_delay_probability_nSta50_1Mbps.pdf

────────────────────────────────────────────────────────────
  Generating statistics comparison...
────────────────────────────────────────────────────────────
